,hexcode,decimal,Unicode name,CLDR English name,major shortname,localsrc, char
1f4bb,128187,personal computer, , ,pc,💻
1f4bc,128188,briefcase, , ,bag,💼
1f4bd,128189,minidisc, , ,floppy2,💽
1f4be,128190,floppy disk, , ,floppy1,💾
1f4bf,128191,optical disc, , ,cd,💿
1f4c0,128192,dvd, , ,,📀
1f4c1,128193,file folder, , ,folder1,📁
1f4c2,128194,open file folder, , ,folder2,📂
1f4c3,128195,page with curl, , ,document1,📃
1f4c4,128196,page facing up, , ,document2,📄
1f4c5,128197,calendar, , ,calendar,📅
1f4c6,128198,tearoff calendar, , ,day,📆
1f4c7,128199,card index, , ,rolocard,📇
1f4c8,128200,chart with upwards trend, , ,graph1,📈
1f4c9,128201,chart with downwards trend, , ,graph2,📉
1f4ca,128202,bar chart, , ,chart,📊
1f4cb,128203,clipboard, , ,clipboard,📋
1f4cc,128204,pushpin, , ,thumbtack,📌
1f4cd,128205,round pushpin, , ,pushpin,📍
1f4ce,128206,paperclip, , ,paperclip,📎
1f4cf,128207,straight ruler, , ,ruler1,📏
1f4d0,128208,triangular ruler, , ,ruler2,📐
1f4d1,128209,bookmark tabs, , ,mark,📑
1f4d2,128210,ledger, , ,tablet,📒
1f4d3,128211,notebook, , ,note1,📓
1f4d4,128212,notebook with decorative cover, , ,note3,📔
1f4d5,128213,closed book, , ,book4,📕
1f4d6,128214,open book, , ,note2,📖
1f4d7,128215,green book, , ,book1,📗
1f4d8,128216,blue book, , ,book2,📘
1f4d9,128217,orange book, , ,book3,📙
1f4da,128218,books, , ,books,📚
1f4db,128219,name badge, , ,tag,📛
1f4dc,128220,scroll, , ,scroll,📜
1f4dd,128221,memo, , ,memo,📝
1f4de,128222,telephone receiver, , ,phone2,📞
1f4df,128223,pager, , ,pager,📟
1f4e0,128224,fax machine, , ,fax,📠
1f4e1,128225,satellite antenna, , ,antenna,📡
1f4e2,128226,public address loudspeaker, , ,,📢
1f4e3,128227,cheering megaphone, , ,,📣
1f4e4,128228,outbox tray, , ,outbox,📤
1f4e5,128229,inbox tray, , ,inbox,📥
1f4e6,128230,package, , ,package,📦
1f4e7,128231,email symbol, , ,icon,📧
1f4e8,128232,incoming envelope, , ,envelope2,📨
1f4e9,128233,envelope with downwards arrow above, , ,envelope4,📩
1f4ea,128234,closed mailbox with lowered flag, , ,mailbox,📪
1f4eb,128235,closed mailbox with raised flag, , ,inbox1,📫
1f4ee,128238,postbox, , ,,📮
1f4f0,128240,newspaper, , ,newspaper,📰
1f4f1,128241,mobile phone, , ,phone3,📱
1f4f2,128242,mobile phone with rightwards arrow at left, , ,exit,📲
1f4f3,128243,vibration mode, , ,manners,📳
1f4f4,128244,mobile phone off, , ,off,📴
1f4f6,128246,antenna with bars, , ,within,📶
1f4f7,128247,camera, , ,camera1,📷
1f4f9,128249,video camera, , ,camcorder,📹
1f4fa,128250,television, , ,tv,📺
1f4fb,128251,radio, , ,radio2,📻
1f4fc,128252,videocassette, , ,vidtape,📼
1f503,128259,clockwise downwards and upwards open circle arrows, , ,reload,🔃
1f50a,128266,speaker with three sound waves, , ,speaker,🔊
